Time (ns),Atom id,Diffusion Coefficient (cm²/s)
300.0,216,5.61741e-05
300.0,217,0.0794984
300.0,222,0.123563
300.0,249,0.192696
310.0,63,0.000392169
310.0,64,0.30874
310.0,81,0.162754
310.0,101,0.1756
310.0,133,0.152595
310.0,180,0.22303
310.0,253,0.095134
310.0,265,0.3291
310.0,293,0.304779
320.0,18,0.16612
320.0,24,0.000302527
320.0,27,0.170986
320.0,34,0.266721
320.0,43,0.243933
320.0,102,0.219514
320.0,119,0.331522
320.0,154,0.283062
320.0,165,0.0115386
320.0,166,0.0108897
320.0,187,0.000660579
320.0,190,0.266132
320.0,216,6.83181e-05
320.0,255,0.23639
320.0,262,0.0923315
320.0,264,0.263982
320.0,274,0.222083
320.0,293,0.316328
330.0,14,0.133401
330.0,29,0.0206873
330.0,63,0.000166822
330.0,67,0.314697
330.0,76,0.317557
330.0,133,0.151186
330.0,136,0.313786
330.0,144,0.262331
330.0,149,0.125932
330.0,163,0.0916252
330.0,178,0.224325
330.0,189,0.111754
330.0,216,2.39819e-05
330.0,242,0.123993
330.0,258,0.286803
330.0,274,0.275637
330.0,285,0.305891
330.0,287,0.306445
340.0,10,0.142841
340.0,30,0.318716
340.0,51,0.24054
340.0,58,0.173168
340.0,63,0.000519363
340.0,92,0.293363
340.0,108,0.283395
340.0,114,0.113344
340.0,132,0.319303
340.0,202,0.118902
340.0,216,1.99281e-05
350.0,21,0.0673548
350.0,22,0.0328741
350.0,33,0.292977
350.0,49,0.170356
350.0,62,0.204819
350.0,63,0.0
350.0,71,0.114315
350.0,77,0.266503
350.0,87,0.0345267
350.0,107,0.250587
350.0,142,0.00401803
350.0,216,1.61545e-05
350.0,234,0.298509
350.0,256,0.0260732
350.0,290,0.232458
350.0,291,0.220455
360.0,72,0.238883
360.0,89,0.290233
360.0,161,0.256938
360.0,192,0.0504615
360.0,216,8.58554e-05
360.0,217,0.276331
360.0,280,0.193662
370.0,63,0.00274642
370.0,66,0.304795
370.0,114,0.329671
370.0,120,0.28062
370.0,135,0.300037
370.0,142,0.00742589
370.0,223,0.184097
370.0,239,0.0237986
370.0,244,0.294179
370.0,257,0.0770613
370.0,274,0.249123
380.0,3,0.319865
380.0,53,0.16837
380.0,63,0.0
380.0,83,0.269714
380.0,143,0.17944
380.0,146,0.305072
380.0,153,0.188246
380.0,216,3.73912e-05
380.0,239,0.236043
380.0,248,0.227709
390.0,38,0.242123
390.0,47,0.0426189
390.0,63,0.000705296
390.0,119,0.0457175
390.0,125,5.82246e-06
390.0,132,0.231537
390.0,151,0.0989258
390.0,259,0.082454
400.0,5,0.243701
400.0,19,0.30636
400.0,25,0.276683
400.0,53,0.315155
400.0,63,0.000689548
400.0,65,0.226555
400.0,76,0.284506
400.0,79,0.269112
400.0,83,0.311412
400.0,107,0.241172
400.0,125,0.000495101
400.0,194,0.299116
400.0,240,0.133283
400.0,264,0.309043
400.0,267,0.311296
410.0,24,0.000166583
410.0,25,0.303569
410.0,26,0.0
410.0,64,0.326532
410.0,112,0.227602
410.0,163,0.272551
410.0,174,0.308397
410.0,187,0.0
410.0,197,0.292086
410.0,216,2.85903e-06
410.0,221,0.0
410.0,233,0.182839
420.0,29,0.0508745
420.0,63,0.0
420.0,65,0.182821
420.0,97,0.262417
420.0,99,0.241253
420.0,147,0.307091
420.0,152,0.170388
420.0,186,0.213828
420.0,216,4.24404e-06
420.0,229,0.18821
420.0,233,0.269787
420.0,237,0.238259
420.0,249,0.302548
420.0,284,0.0990593
430.0,41,0.215982
430.0,51,0.0294831
430.0,118,0.315037
430.0,216,1.69455e-06
430.0,244,0.302549
430.0,287,0.306598
430.0,289,0.132407
440.0,78,0.130957
440.0,105,0.101453
440.0,138,0.224133
440.0,196,0.239115
440.0,216,4.61568e-05
440.0,255,0.00131442
440.0,275,0.297155
440.0,288,0.152206
450.0,8,0.290063
450.0,9,0.275451
450.0,22,0.123887
450.0,63,0.00355992
450.0,142,0.221112
450.0,216,0.000161024
460.0,42,0.00601998
460.0,47,0.315278
460.0,73,0.00064187
460.0,80,0.245669
460.0,108,0.0748247
460.0,154,0.1784
460.0,197,0.212731
460.0,216,0.000115471
460.0,225,0.222648
460.0,237,0.255436
460.0,245,0.260706
460.0,282,0.10663
460.0,283,0.195528
470.0,1,0.0
470.0,15,0.189759
470.0,24,0.000225333
470.0,32,0.180806
470.0,54,0.26214
470.0,118,0.168277
470.0,122,0.284981
470.0,148,0.106618
470.0,162,0.221323
470.0,163,0.246965
470.0,175,0.249631
470.0,187,0.00280484
470.0,209,0.0827563
470.0,210,0.319241
470.0,216,8.19961e-06
470.0,252,0.243024
470.0,261,0.185164
470.0,270,0.241044
470.0,274,0.0519991
470.0,292,0.322254
470.0,293,0.244955
480.0,26,0.307158
480.0,36,0.252118
480.0,44,0.209055
480.0,105,0.072015
480.0,163,0.0899423
480.0,192,0.0
480.0,216,0.0
480.0,222,0.26906
480.0,229,0.30258
480.0,290,0.104253
490.0,25,0.224735
490.0,63,0.000936107
490.0,71,0.324907
490.0,86,0.214904
490.0,100,0.252921
490.0,141,0.239387
490.0,149,0.0679132
490.0,184,0.242687
490.0,284,0.172204
490.0,288,0.240904
500.0,60,0.314773
500.0,66,0.208517
500.0,126,0.295205
500.0,150,0.251125
500.0,180,0.28587
500.0,181,0.149908
500.0,216,2.59827e-05
500.0,219,0.280375
500.0,264,0.31893
510.0,27,0.147445
510.0,63,0.00347047
510.0,91,0.261189
510.0,192,0.260496
510.0,212,0.215261
510.0,216,2.42332e-05
510.0,221,0.245132
510.0,240,0.278178
510.0,254,0.166402
510.0,280,0.321614
520.0,34,0.22401
520.0,37,0.130697
520.0,64,0.301991
520.0,125,0.304181
520.0,157,0.00436635
520.0,159,0.125501
520.0,165,0.113614
520.0,174,0.306333
520.0,187,9.21342e-05
520.0,191,0.0397701
520.0,201,0.134708
520.0,216,0.0
520.0,255,0.119027
520.0,258,0.0422933
530.0,15,0.235025
530.0,61,0.207446
530.0,63,0.00145289
530.0,67,0.298362
530.0,104,0.305361
530.0,118,0.155505
530.0,125,2.42069e-05
530.0,199,0.297189
530.0,203,0.008165
530.0,205,0.233665
530.0,226,0.163867
530.0,279,0.296075
540.0,4,0.28891
540.0,17,0.333359
540.0,25,0.295289
540.0,63,0.000684424
540.0,98,0.276994
540.0,125,0.0
540.0,131,0.295152
540.0,134,0.284778
540.0,141,0.320381
540.0,146,0.292359
540.0,163,0.198984
540.0,165,0.117898
540.0,167,0.180742
540.0,198,0.257176
540.0,221,0.305521
540.0,227,0.329829
540.0,248,0.268724
540.0,249,0.210297
540.0,290,0.326879
540.0,293,0.252942
550.0,55,0.324331
550.0,76,0.201644
550.0,102,0.238866
550.0,135,0.2075
550.0,180,0.238479
550.0,182,0.32111
550.0,184,0.225164
550.0,216,0.0
550.0,224,0.31371
550.0,232,0.263856
550.0,261,0.173249
560.0,7,0.18272
560.0,9,0.0892146
560.0,16,0.321432
560.0,24,0.135184
560.0,29,0.0
560.0,34,0.259943
560.0,42,0.26406
560.0,45,0.276133
560.0,63,0.000713984
560.0,67,0.293345
560.0,120,0.0162849
560.0,125,1.00767e-05
560.0,138,0.207318
560.0,205,0.243477
560.0,210,0.141988
560.0,211,0.208359
560.0,225,0.238768
560.0,266,0.127799
560.0,282,0.301496
570.0,63,0.00110208
570.0,106,0.281514
570.0,165,0.24828
570.0,168,0.227746
570.0,182,0.299022
570.0,216,1.08704e-05
570.0,253,0.247697
570.0,265,0.325155
570.0,287,0.312246
570.0,290,0.275128
580.0,23,0.242226
580.0,52,0.244098
580.0,69,0.0168066
580.0,83,0.167969
580.0,89,0.207234
580.0,93,0.330052
580.0,125,0.219675
580.0,197,0.203577
580.0,216,2.64611e-05
580.0,224,0.203045
580.0,252,0.034619
580.0,278,0.322941
590.0,10,0.125824
590.0,30,0.299165
590.0,36,0.193124
590.0,61,0.0740233
590.0,63,0.00170558
590.0,134,0.0283749
590.0,176,0.208182
590.0,201,0.261083
590.0,216,7.05114e-06
590.0,225,0.316332
590.0,232,0.316943
590.0,238,0.274637
590.0,253,0.21971
590.0,254,0.000299725
600.0,8,0.28418
600.0,13,0.188316
600.0,63,0.00134284
600.0,89,0.285085
600.0,100,0.20998
600.0,125,0.000158979
600.0,133,0.316097
600.0,177,0.283671
600.0,180,0.0833743
600.0,185,0.328679
600.0,193,0.27141
600.0,219,0.210702
600.0,266,0.0
600.0,283,0.24806
610.0,2,0.324041
610.0,26,0.24393
610.0,74,0.308237
610.0,76,0.109795
610.0,119,0.251417
610.0,133,0.222186
610.0,153,0.274527
610.0,162,0.284593
610.0,194,0.113917
610.0,198,0.0201526
610.0,216,2.39665e-05
610.0,227,0.328321
610.0,241,0.254055
610.0,281,0.0589588
610.0,294,0.328533
620.0,40,0.219457
620.0,62,0.0193749
620.0,82,0.30077
620.0,91,0.2314
620.0,129,0.175735
620.0,201,0.297716
620.0,216,0.00154164
620.0,238,0.310294
620.0,279,0.0726311
620.0,284,0.220645
630.0,19,0.214203
630.0,40,0.313141
630.0,51,0.188542
630.0,73,0.307474
630.0,129,0.231885
630.0,130,0.0407083
630.0,159,0.128077
630.0,216,1.45957e-06
630.0,247,0.0
630.0,281,0.000788468
630.0,290,0.267967
640.0,5,0.273909
640.0,28,0.288759
640.0,29,0.0130033
640.0,35,0.223238
640.0,60,0.111726
640.0,63,0.0014841
640.0,122,0.323782
640.0,123,0.0696136
640.0,140,0.278221
640.0,209,0.285104
640.0,216,3.21439e-05
640.0,254,0.102982
640.0,267,0.222956
640.0,276,0.0991186
650.0,30,0.0570991
650.0,49,0.221073
650.0,63,0.0
650.0,65,0.142709
650.0,90,0.291059
650.0,132,0.232645
650.0,201,0.288006
650.0,216,0.0
650.0,251,0.096986
660.0,8,0.273893
660.0,37,7.87215e-05
660.0,73,0.0019126
660.0,74,0.243526
660.0,109,0.304969
660.0,148,0.15636
660.0,156,0.154338
660.0,216,2.78007e-05
660.0,229,0.25789
660.0,253,0.00178957
670.0,22,0.257726
670.0,47,0.102616
670.0,55,0.320806
670.0,63,0.000661777
670.0,75,0.133921
670.0,77,0.331208
670.0,80,0.254091
670.0,91,0.252668
670.0,111,0.156683
670.0,116,0.231262
670.0,122,0.15144
670.0,125,0.00163799
670.0,132,0.0573513
670.0,138,0.168161
670.0,156,0.179963
670.0,170,0.247306
670.0,180,0.00556325
670.0,191,0.220487
670.0,194,0.0533359
680.0,62,0.0
680.0,88,0.276299
680.0,127,0.08785
680.0,142,0.0867041
680.0,156,0.218921
680.0,172,0.0778673
680.0,186,0.0841232
680.0,195,0.226278
680.0,216,2.91946e-05
680.0,217,0.285435
680.0,223,0.262722
680.0,243,0.235196
680.0,273,0.2859
690.0,1,0.199285
690.0,4,0.25682
690.0,29,0.315522
690.0,46,0.220143
690.0,73,0.0
690.0,86,0.153423
690.0,118,0.00703454
690.0,129,0.313873
690.0,184,0.149111
690.0,212,0.257691
690.0,216,2.08026e-05
690.0,227,0.225802
700.0,42,0.00602064
700.0,73,0.00107506
700.0,77,0.308211
700.0,82,0.316984
700.0,144,0.311525
700.0,146,0.32543
700.0,180,0.281561
700.0,181,0.305522
700.0,187,0.246806
700.0,216,4.70896e-05
700.0,217,0.00348875
700.0,227,0.248003
700.0,252,0.266545
710.0,24,0.0999883
710.0,40,0.29602
710.0,63,0.00262445
710.0,111,0.319816
710.0,128,0.25834
710.0,133,0.299613
710.0,216,5.1034e-05
710.0,226,0.206053
710.0,284,0.132089
710.0,294,0.0974662
720.0,42,0.0149211
720.0,59,0.307837
720.0,66,0.332096
720.0,73,0.00181592
720.0,111,0.226261
720.0,147,0.18113
720.0,171,0.297657
720.0,198,0.27637
720.0,216,2.09497e-05
720.0,217,0.000136508
720.0,248,0.28626
720.0,274,0.0104618
720.0,287,0.136357
720.0,288,0.0789479
730.0,31,0.264591
730.0,62,0.250183
730.0,63,0.000694702
730.0,118,0.246882
730.0,128,0.197789
730.0,142,0.0139305
730.0,167,0.249512
730.0,216,3.03118e-05
730.0,224,0.291608
730.0,235,0.188684
730.0,239,0.277396
730.0,262,0.0473175
730.0,294,0.238497
740.0,18,0.308423
740.0,42,0.301643
740.0,73,0.0191129
740.0,194,0.302021
740.0,208,0.300309
740.0,209,0.0
740.0,216,1.26712e-05
740.0,233,0.0998031
740.0,239,0.27758
740.0,240,0.167358
740.0,283,0.20533
750.0,63,0.00031376
750.0,68,0.213961
750.0,80,0.105967
750.0,82,0.282106
750.0,125,6.37998e-05
750.0,167,0.255449
750.0,185,0.299083
750.0,224,0.203777
750.0,227,0.218497
750.0,244,0.125581
750.0,268,0.279636
760.0,25,0.183222
760.0,42,0.000244985
760.0,60,0.301444
760.0,73,0.00320944
760.0,84,0.0704473
760.0,86,0.191368
760.0,132,0.2064
760.0,167,0.295314
760.0,189,0.310134
760.0,194,0.292422
760.0,216,5.31795e-05
760.0,230,0.0530503
760.0,259,0.182439
760.0,281,0.146894
760.0,286,0.0638492
770.0,36,0.155416
770.0,68,0.27217
770.0,73,0.00198005
770.0,115,0.0785981
770.0,118,0.113372
770.0,124,0.283657
770.0,200,0.260037
770.0,216,7.23836e-05
770.0,217,0.246816
770.0,279,0.251494
780.0,8,0.203248
780.0,68,0.24594
780.0,73,0.00169066
780.0,78,0.0208504
780.0,84,0.141197
780.0,92,0.142659
780.0,117,0.0943999
780.0,125,0.0536067
780.0,144,0.217103
780.0,155,0.232034
780.0,187,0.273533
780.0,198,0.280126
780.0,216,3.73212e-05
780.0,240,0.000637475
780.0,245,0.0605348
780.0,264,0.271337
790.0,63,0.245051
790.0,66,0.111847
790.0,73,0.00290802
790.0,80,0.271907
790.0,131,0.105609
790.0,136,0.305607
790.0,140,0.121953
790.0,158,0.029854
790.0,170,0.238912
790.0,174,0.255583
790.0,185,0.135624
