Time (ns),id,Diffusion Coefficient (cm²/s),Atom id
440.0,,0.00165639,97.0
440.0,,0.135901,148.0
440.0,,0.184204,154.0
440.0,,0.264937,190.0
450.0,,0.277619,4.0
450.0,,0.304627,62.0
450.0,,0.260502,89.0
450.0,,0.00288792,97.0
450.0,,0.199657,115.0
450.0,,0.000389738,168.0
450.0,,0.0725093,206.0
450.0,,0.00127478,220.0
450.0,,0.163517,227.0
450.0,,0.0187402,268.0
450.0,,0.312131,283.0
460.0,,0.0,97.0
460.0,,0.271321,184.0
460.0,,0.15505,226.0
460.0,,0.0825686,232.0
470.0,,0.0684777,23.0
470.0,,0.0143874,58.0
470.0,,0.330626,81.0
470.0,,0.00211201,97.0
470.0,,0.0302836,195.0
470.0,,0.245887,245.0
470.0,,0.298516,271.0
470.0,,0.260494,288.0
480.0,,0.203565,3.0
480.0,,0.181122,13.0
480.0,,0.00324326,46.0
480.0,,0.205872,60.0
480.0,,0.000750393,97.0
480.0,,0.0844721,136.0
480.0,,0.217179,149.0
480.0,,0.194476,162.0
480.0,,0.0,168.0
480.0,,0.236044,169.0
480.0,,0.283062,184.0
480.0,,0.0851764,240.0
480.0,,0.268691,265.0
480.0,,0.0519316,281.0
480.0,,0.265808,284.0
490.0,,0.183611,41.0
490.0,,0.048454,42.0
490.0,,0.000318565,46.0
490.0,,0.140572,65.0
490.0,,0.127226,94.0
490.0,,0.000415058,97.0
490.0,,0.225036,110.0
490.0,,0.107746,112.0
490.0,,0.235054,157.0
490.0,,0.254036,232.0
490.0,,0.240727,255.0
500.0,,0.00433441,46.0
500.0,,0.0367225,65.0
500.0,,0.213203,92.0
500.0,,0.00230035,97.0
500.0,,0.327511,98.0
500.0,,0.0490783,106.0
500.0,,0.21629,122.0
500.0,,0.162499,160.0
500.0,,0.241242,167.0
500.0,,0.000275195,168.0
500.0,,0.250665,233.0
500.0,,0.0597017,242.0
500.0,,0.237797,245.0
500.0,,0.249659,247.0
500.0,,0.0623163,251.0
500.0,,0.140116,271.0
510.0,,0.00950029,46.0
510.0,,0.271818,93.0
510.0,,0.00254756,97.0
510.0,,0.00481851,168.0
510.0,,0.326681,188.0
510.0,,0.00115359,201.0
510.0,,0.0,206.0
510.0,,0.327709,224.0
510.0,,0.133946,266.0
510.0,,0.195942,284.0
520.0,,0.280225,60.0
520.0,,0.299111,67.0
520.0,,0.247278,72.0
520.0,,0.224836,93.0
520.0,,0.0577699,94.0
520.0,,0.319079,105.0
520.0,,0.0539742,131.0
520.0,,0.312536,144.0
520.0,,0.323189,159.0
520.0,,0.230307,166.0
520.0,,0.267464,170.0
520.0,,0.197373,210.0
520.0,,0.167882,279.0
530.0,,0.274582,4.0
530.0,,0.00110169,46.0
530.0,,0.000412822,97.0
530.0,,0.002377,168.0
530.0,,0.000979121,245.0
530.0,,0.0360277,246.0
530.0,,0.0,261.0
530.0,,0.29876,266.0
530.0,,0.174038,280.0
540.0,,0.288031,31.0
540.0,,0.159258,36.0
540.0,,0.00785521,46.0
540.0,,0.225455,84.0
540.0,,0.0915352,91.0
540.0,,0.22889,94.0
540.0,,0.000175398,97.0
540.0,,0.106819,128.0
540.0,,0.0237177,155.0
540.0,,0.13201,167.0
540.0,,0.00614916,168.0
540.0,,0.232363,195.0
540.0,,0.323264,257.0
540.0,,0.185682,284.0
550.0,,0.165757,37.0
550.0,,0.102059,40.0
550.0,,0.00010172,46.0
550.0,,0.000497471,97.0
550.0,,0.0105471,98.0
550.0,,0.331795,100.0
550.0,,0.286514,130.0
550.0,,0.0,168.0
550.0,,0.284958,180.0
550.0,,0.266767,201.0
550.0,,0.220679,205.0
550.0,,0.239448,236.0
550.0,,0.287367,245.0
550.0,,0.174393,252.0
550.0,,0.206054,262.0
550.0,,0.143495,280.0
560.0,,0.279861,1.0
560.0,,0.00183887,15.0
560.0,,0.0387222,18.0
560.0,,0.213026,29.0
560.0,,0.217308,34.0
560.0,,0.260921,55.0
560.0,,0.103563,65.0
560.0,,0.207243,71.0
560.0,,0.103485,78.0
560.0,,0.0012771,97.0
560.0,,0.180881,102.0
560.0,,0.216952,163.0
560.0,,0.0105214,168.0
560.0,,0.0660502,175.0
560.0,,0.206468,188.0
560.0,,0.270178,231.0
560.0,,0.0921995,232.0
560.0,,0.191371,286.0
570.0,,0.0,3.0
570.0,,0.000542163,22.0
570.0,,0.00999782,46.0
570.0,,0.00315783,97.0
570.0,,0.287003,113.0
570.0,,0.299864,156.0
570.0,,0.00591713,168.0
570.0,,0.0,245.0
570.0,,0.228703,273.0
580.0,,0.191565,45.0
580.0,,0.0044033,62.0
580.0,,0.267416,73.0
580.0,,0.274991,108.0
580.0,,0.292844,141.0
580.0,,0.271065,145.0
580.0,,0.00412218,168.0
580.0,,0.144447,173.0
580.0,,0.153643,209.0
580.0,,0.0352737,224.0
580.0,,0.113344,237.0
580.0,,0.139019,247.0
580.0,,0.00146995,271.0
590.0,,0.00231383,46.0
590.0,,0.000699497,97.0
590.0,,0.209364,114.0
590.0,,0.0,132.0
590.0,,0.289014,135.0
590.0,,0.263642,160.0
590.0,,0.239544,162.0
590.0,,0.00183914,168.0
590.0,,0.120883,198.0
590.0,,0.018303,245.0
590.0,,0.261354,283.0
590.0,,0.098827,288.0
600.0,,0.316517,6.0
600.0,,0.311322,32.0
600.0,,0.0,46.0
600.0,,0.0499879,56.0
600.0,,0.312149,61.0
600.0,,0.29859,92.0
600.0,,0.00121225,97.0
600.0,,0.242907,150.0
600.0,,0.157301,154.0
600.0,,0.00499346,168.0
600.0,,0.175047,195.0
600.0,,0.259095,236.0
600.0,,0.199075,241.0
600.0,,0.21882,247.0
600.0,,0.235319,267.0
600.0,,0.209108,282.0
610.0,,0.195824,15.0
610.0,,0.00835058,46.0
610.0,,0.265706,58.0
610.0,,0.309983,67.0
610.0,,0.127975,71.0
610.0,,0.211804,78.0
610.0,,0.0579097,82.0
610.0,,0.0842781,83.0
610.0,,0.000145585,97.0
610.0,,0.285802,103.0
610.0,,0.0130363,168.0
610.0,,0.249485,188.0
610.0,,0.279021,194.0
620.0,,0.0,21.0
620.0,,0.23059,37.0
620.0,,0.233773,42.0
620.0,,0.331689,83.0
620.0,,0.000122984,97.0
620.0,,0.295236,196.0
620.0,,0.100709,210.0
620.0,,0.332258,233.0
620.0,,0.163315,237.0
620.0,,0.0348271,240.0
620.0,,0.285085,253.0
630.0,,0.314509,5.0
630.0,,0.0819523,25.0
630.0,,0.184626,47.0
630.0,,0.0012377,97.0
630.0,,0.189668,130.0
630.0,,0.316733,144.0
630.0,,0.19637,176.0
640.0,,0.0213376,24.0
640.0,,0.221396,36.0
640.0,,0.209876,66.0
640.0,,0.00196918,97.0
640.0,,0.325063,117.0
640.0,,0.190666,134.0
640.0,,0.272121,156.0
640.0,,0.00863557,168.0
640.0,,0.144465,224.0
640.0,,0.142238,234.0
640.0,,0.308732,240.0
640.0,,0.325202,252.0
640.0,,0.132361,271.0
650.0,,0.0240127,11.0
650.0,,0.209814,23.0
650.0,,0.00962305,46.0
650.0,,0.264888,50.0
650.0,,0.276325,95.0
650.0,,0.000124354,97.0
650.0,,0.303151,108.0
650.0,,0.317706,124.0
650.0,,0.203068,157.0
650.0,,0.303779,158.0
650.0,,0.273276,167.0
650.0,,0.00202529,168.0
650.0,,0.28226,170.0
650.0,,0.00657007,201.0
650.0,,0.139805,212.0
650.0,,0.000572359,245.0
650.0,,0.125155,259.0
660.0,,0.300313,2.0
660.0,,0.253655,53.0
660.0,,0.231502,58.0
660.0,,0.00480106,79.0
660.0,,0.183337,83.0
660.0,,0.247381,95.0
660.0,,0.0,97.0
660.0,,0.112121,116.0
660.0,,0.00422699,168.0
660.0,,0.0335479,208.0
660.0,,0.118165,242.0
660.0,,0.0,247.0
660.0,,0.135235,251.0
670.0,,0.258802,11.0
670.0,,0.223452,15.0
670.0,,0.332539,31.0
670.0,,0.1115,77.0
670.0,,0.221288,146.0
670.0,,0.255275,162.0
670.0,,0.0752613,174.0
670.0,,0.264853,192.0
670.0,,0.101113,228.0
670.0,,0.094476,260.0
670.0,,0.0874423,278.0
680.0,,0.304111,18.0
