Time (ns),Atom id,Diffusion Coefficient (cm²/s)
310.0,127,0.317901
310.0,136,0.291057
310.0,160,0.335457
310.0,161,0.265368
310.0,168,0.00305612
310.0,191,0.336171
310.0,194,0.0487512
310.0,195,0.301626
310.0,199,0.330878
310.0,214,0.188529
310.0,257,0.292705
310.0,260,0.273228
320.0,46,0.00216138
320.0,53,0.335076
320.0,97,0.00019386
320.0,98,0.326586
320.0,175,0.263814
320.0,236,0.31451
330.0,15,0.288061
330.0,20,0.166344
330.0,24,0.262068
330.0,46,0.00729105
330.0,54,0.113834
330.0,61,0.249047
330.0,65,0.181503
330.0,75,0.311594
330.0,97,0.000409885
330.0,150,0.331548
330.0,166,0.109239
330.0,199,0.131227
330.0,260,0.176869
330.0,266,0.276202
340.0,18,0.253212
340.0,20,0.319363
340.0,34,0.0912548
340.0,52,0.318497
340.0,68,0.266602
340.0,96,0.0449266
340.0,97,0.00046655
340.0,117,0.135367
340.0,144,0.154916
340.0,191,0.335681
340.0,194,0.146557
340.0,205,0.119952
340.0,239,0.306599
340.0,270,0.0867356
340.0,279,0.337174
350.0,67,0.141265
350.0,93,0.239671
350.0,218,0.0820622
350.0,221,0.270529
350.0,245,0.29999
360.0,13,0.225159
360.0,46,0.00080595
360.0,83,0.176472
360.0,97,0.000273254
360.0,144,0.312324
360.0,153,0.164145
360.0,157,0.318389
360.0,168,0.00178667
360.0,214,0.305672
360.0,254,0.174221
370.0,58,0.230514
370.0,97,0.000212698
370.0,103,0.0554784
370.0,116,0.0019079
370.0,125,0.173053
370.0,156,0.280518
370.0,159,0.0558703
370.0,196,0.335762
370.0,264,0.113619
380.0,3,0.12146
380.0,39,0.211947
380.0,51,0.194343
380.0,67,0.170465
380.0,75,0.0308126
380.0,81,0.222388
380.0,97,0.00350455
380.0,111,0.0422205
380.0,128,0.0318351
380.0,141,0.255931
380.0,175,0.287577
380.0,184,0.303258
380.0,195,0.129784
380.0,197,0.0822534
380.0,202,0.295508
380.0,276,0.138059
390.0,10,0.312413
390.0,62,0.00436061
