id,Diffusion Coefficient (cm²/s),std
152,2.45259207,1.9427585336938682
153,2.61878684,1.9625986114624656
154,2.4559195399999996,2.1063280970350564
155,2.7835821500000004,1.855308844782259
156,2.4402066,1.6450743200460858
157,3.037506969,2.2717727908653065
158,2.837483458,2.605078453995078
159,2.732838592999999,2.1788289667805794
160,3.12721309,2.357144872305117
161,2.8470994216000003,2.3208709390128894
162,2.41795396,1.6089357838210376
163,2.6649995,2.3552583220826127
164,2.6348515000000003,1.878406324650726
165,2.82303996,2.3087246645307373
166,2.84976627,1.9183160519297517
167,2.9124693620000004,2.2854742686090397
168,3.2466295099999996,2.8467849941167125
169,2.6865616179999994,2.111611531024276
170,2.8062243000000002,2.424889763768352
171,2.7753360199999997,1.9386573339924378
172,2.9083563100000007,2.218267537746599
173,3.204061549999999,2.789435028404568
174,2.6800788500000006,2.0961136038720376
175,3.4430882,2.806760814304434
176,2.91947702,2.179710432833358
177,3.023133785,2.423955443717225
178,2.59805425,1.7124730050444257
179,2.7736600780000003,1.9149570253746964
180,2.5645432892999995,1.793779775087834
181,2.8807197899999992,2.334584446480749
182,2.59536711,2.130383787229821
183,3.2544604199999996,2.7326459081635277
184,3.094319108,2.752314102443049
185,2.6772254210999993,2.2776228000435887
186,2.4074349700000006,1.730459323006137
187,2.7247816200000003,1.9266912088184183
188,2.5579114799999996,2.0114749179506153
189,2.35417354,1.8370314689441056
190,3.0258161399999994,2.107362477555283
191,3.005322503,2.2633703659648403
192,2.8446737,2.135203446994459
193,2.672821420999999,1.8909359688836185
194,2.49529044,1.973444579611494
195,2.6915307199999994,2.0776603589823357
196,2.4508762920000002,2.1693416174941427
197,3.0087786592999994,2.573002334073074
198,2.6382137299999995,2.01173527903579
199,2.7160244200000005,1.8743193848427802
200,3.0043277499999994,2.673065792622583
201,3.2689715900000005,2.2979326750447115
202,2.6002629789999996,1.913842671037193
203,2.9261213199999996,2.174226940494524
204,2.8296241399999995,2.3760375789603194
205,3.53950539,2.9299150898874835
206,2.78358601,2.4245203148228303
207,2.72197456,2.2696527708499543
208,2.53473966,2.133066373510287
209,2.7872405700000007,2.7135238095896717
210,2.7333151,1.9479223393492588
211,2.7730862515,2.102096947480916
212,2.8312735865999996,2.5129335585788612
213,3.04365589,2.5305032113597483
214,2.94562417,2.501475593701329
215,3.1090435100000002,2.1728013480447026
216,2.877283389,2.532982349355436
217,2.834761419999999,1.9559653736988682
218,2.440187583,1.8028795682517123
219,2.681519949,2.3129168322286358
220,2.8456992320000007,2.5336730531181635
221,2.8561777199999994,2.0237626698960054
222,2.6586864802,1.8205158883673909
223,2.659639858,2.3419797534603286
224,2.4928528799999996,1.9477797496640736
225,2.516101942,2.417723042704921
226,3.045601530000001,2.5859207175004277
227,2.86940213,2.117437977286419
228,2.930951790000001,2.2635992963842653
229,2.63760259,2.047566471452452
230,2.7494716999999995,2.3577912978371254
231,2.4171053329,1.7174957819726122
232,2.866492247,2.0848366379889893
233,2.858541969999999,2.284657140029865
234,2.9193129700000005,2.7914870869794965
235,2.65960613,2.213595930787264
236,2.7572358700000006,2.080978159012682
237,2.60733676,2.042522451159237
238,2.64461432,2.142509380032651
239,2.9520272999999997,2.5564841051743112
240,2.9811382300000004,2.3895924462007945
241,2.96365999,2.355855426745524
242,2.6507642517,2.415612322037184
243,2.8531601799999997,2.8037879817632048
244,2.7987781390999995,2.357646564583532
245,2.86607483,2.8532714756610438
246,3.1183306060000002,2.6886880084795917
247,3.0369762900000006,2.3008364202888267
248,3.05651037,2.2125325116419097
249,2.784086059999999,2.8803067945704046
250,2.9021482899999995,2.382554619064745
251,2.8410352850000002,2.6248399398165545
252,2.8765410599999996,2.402050520008122
253,2.7386029641,1.9968964056689709
254,2.72477959,2.2833128097762216
255,2.6292717459000006,2.1019373384891757
256,2.60448949143,2.580976926587677
257,2.690510205,2.407871478886806
258,2.6253251844,2.002832761323041
259,2.78118975,1.8372949410823773
260,2.332896375806,1.8447734474978548
261,2.657880705,2.1205770259791916
262,3.1420954200000004,2.183811130889027
263,2.95994201,2.3016421269893566
264,3.0327908500000005,2.4578128975897933
265,2.77214756,2.4317745687069356
266,2.7601397921,2.3964893992350658
267,2.97226487,2.006343381754196
268,2.495004296,1.968742308633087
269,3.3221952800000003,2.774712979878139
270,2.755537402,2.207264095463408
271,3.1810204670000006,2.5034817370156794
272,2.9403088900000007,2.3396775035356057
273,2.9079721830000005,2.7997950354797814
274,2.4523555050000003,2.231020228201377
275,3.0064944280000003,2.438640873609209
276,2.50469571,1.957536922883187
277,2.96719294,2.570205234374024
278,2.93179978,2.7365508493263335
279,3.0623295299999995,2.4998815216324966
280,2.605142615640001,2.3164966980837822
281,2.724286779,2.147353482728789
282,2.71244279,2.342323648819703
283,3.2573721399999997,2.612352984623551
284,3.2964501,2.457100179883976
285,2.5118739260000003,1.964167994479675
286,2.6533828609999994,2.087570254726015
287,2.47591162148,2.16394960393341
288,2.46486044,2.175556681450972
289,2.6096650999999995,1.8526710592185192
290,3.184861402,2.4358287059172774
291,2.7813137800000005,2.3033889273989168
